w,fc,sclass,size3,labunits,mandays,farmvaluee,machinee,buildingse,landimpe,labfame,labcase,conacree,hiredlabe,intereste,opexmachinery,opexbuildings,upkeepe,limee,annuitiese,ratee,insurancee,fuellubse,esbe,phonee,rentretirefame,rentretirenonfame,miscoverheade,dairyinggrossoutput,cattlegrossoutput,sheepgrossoutput,cropsgrossoutput,cropandlivegrossoutput,othergrantsandsubs,aidairy,aicattle,aisheep,advisefee,maritalstat,hohsex,age,offjobtype,offjobinc,childunder5,childunder15,childunder19,loan,sub1,sub2,sub3,sub4,sub5,sub6,sub7,sub8,sub9,sub10,sub11,sub12,sub13,sub14,sub15,sub16,sub17,sub18,sub19,sub20,sub21,sub22,sub23,sub24,sub25,sub26,sub27,sub28,sub29,sub30,sub31,sub32,sub33,sub34,sub35,sub36,sub37,sub38,sub39,sub40,sub41,sub42,sub43,sub44,sub45,sub46,sub47,sub48,sub49,sub50,sub51,sub52,sub53,sub54,sub55,sub56,sub57,sub58,sub59,sub60,sub61,sub62,sub63,sub64,sub65,sub66,sub67,sub68,sub69,sub70,sub71,sub72,sub73,sub74,sub75,sub76,sub77,sub78,sub79,DYave,DYbullave,DYcloseinv,DYmilkgal,DYmilke,DYsubs,DYconcentrates,DYpasture,DYwinfor,DYmisccosts,DYownquota,DYleasedquota,DYletquota,DYquota,DYfat,DYprotein,DYforagearea,DYfeedarea,t
81.1579,15345,115,38.04051,1.08,46.94,205908,8445.09,22149.84,0,16303.08,0,445,0,0,809,56,281,0,0,0,126,673,63,192,0,0,1339,0,9478,0,2042,11520,11171,0,0,0,0,1,1,56,3,,0,0,0,0,0,0,1922,0,0,3385,0,0,0,0,0,0,0,0,1500,1500,0,0,0,0,60,0,0,0,0,212,0,0,0,880,880,0,2678,0,5108,0,0,0,0,0,0,1,.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2338,0,0,0,167,98580,0,0,0,0,0,0,0,0
56.17647,21105,114,97.93407,1,439.96,3000000,93476.55,65229.07,0,15049,0,3400,0,2356,12525,0,0,0,0,0,2000,6219,617,480,0,0,3052,0,30574,8308,64230,103112,33500,0,0,0,0,1,1,43,3,,0,0,1,10491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1871,1871,0,0,0,0,339,0,0,0,0,0,0,0,0,33500,0,0,0,0,128,128,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172.2115,23341,309,18.21088,.81,46.76,225000,681.81,0,0,12206.41,0,0,0,0,200,40,500,0,0,0,80,120,50,0,0,0,347,0,5956,0,0,5956,3191,0,203,0,0,3,1,64,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,715,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,640,0,1162,0,2029,0,0,0,0,0,0,.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92.70588,10257,427,32.77959,1.1,101.37,320000,12599.51,7885.68,0,16553.9,0,600,0,0,703,734.88,830.3,0,0,0,200,437,238,182,0,0,204.06,0,12147,2425.5,0,14572.5,11489,0,125,0,0,1,1,53,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,1973,1973,0,0,0,0,0,0,0,0,0,84,0,0,0,0,378,0,0,0,1840,1840,0,3618,0,7871,0,0,0,0,16.3,16.3,.93,.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92.70588,18454,427,38.44519,.78,97.79,475000,5825.39,3616.55,0,11704.78,0,0,0,0,3222,493,2141,0,0,0,496,1035,75,39,0,0,607,0,11629,0,0,11629,8627,0,0,0,69,1,1,67,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,1973,1973,0,0,0,0,0,0,0,0,84,84,0,0,0,0,345,0,0,0,1840,1840,0,3556,0,5071,0,0,0,0,0,0,.67,.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94.55556,23455,131,103.5997,1.23,378.76,1680000,27610.93,43542.18,3140.68,18526.99,0,3200,0,1708,2786,894,410,0,0,0,396,1391,346,303,0,0,2765,0,48207,4986,0,53193,48414,0,0,0,0,1,1,33,3,,1,1,0,10450,0,500,0,0,0,9174,0,0,0,8249,8249,0,0,0,0,0,0,0,0,4654,4890,0,0,0,0,2191,0,0,0,9360,9360,0,4000,0,34740.01,0,0,0,0,239,239,1,.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.176,22427,421,83.36537,1.61,278.84,680000,10860.97,1244.28,2500.33,24245.61,0,3700,0,0,2555,1117,596,0,0,0,212,912,537,195,0,0,2480,38125.16,12285,0,1788,52198.16,12252,0,0,0,75,1,1,63,3,,0,0,0,0,0,0,1788,0,0,0,0,0,0,0,0,0,0,0,1350,1350,0,0,0,0,600,0,0,0,0,182,0,0,0,0,0,0,3951,0,8301,0,0,0,0,0,0,1.28,.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.15,.83,29000,128677,33660.16,2971,2100,3161.9,3741,2606,125021,0,0,125021,18877.1,21242.5,23.70247,26.02942,0
55.57377,17083,417,45.72955,1.01,499.87,850000,48656.96,0,1930.07,15049,170,2200,0,1417.95,3482,698,430,372,30,0,1300,1370,2003,851,0,0,2112,86691,11500,0,0,98191,7115,2337,0,0,302,1,1,35,3,,2,1,0,38126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7115,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.56,0,42000,303441,85884,6138,9350,4345.94,8829.42,6721,234349,292,0,281902,30351.3,35099,27.64412,45.00516,0
92.10606,21269,422,38.44519,1,248.69,359767,48743.73,62323.51,1316.33,15049,0,1750,0,440.44,5281,378,1574,893,0,0,948,1920,136,125,0,0,4098,0,30356,3352,0,33708,32494,0,0,0,253,1,1,41,3,,1,0,0,12292,0,0,0,0,0,14714,0,0,0,3048,3048,0,0,0,60,60,0,0,0,2478,2478,0,0,0,0,1156,0,0,0,3840,3840,0,4000,0,13780,0,0,0,0,50,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172.2115,15424,332,15.78276,.88,70.89,250000,1522.41,3238.72,599.43,13293.28,0,0,0,0,645,435,970,0,0,0,0,180,85,0,0,0,250,0,10670,0,1240,11910,5640,0,250,0,0,1,1,42,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,1255,1255,0,0,0,420,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431,0,4209,0,0,0,0,0,0,.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
